sent_text,argument,label
One minister was miffed yesterday when he found his seat occupied by a journalist talking to a fellow cabinet member before the meeting began .,One minister,experiencer
One minister was miffed yesterday when he found his seat occupied by a journalist talking to a fellow cabinet member before the meeting began .,when he found his seat occupied by a journalist talking to a fellow cabinet member before the meeting began,stimulus
Ev ans was miffed at the comments and openly wondered why Bennett did n't show some respect .,Ev ans,experiencer
Ev ans was miffed at the comments and openly wondered why Bennett did n't show some respect .,at the comments,stimulus
"The reporter , whose English was stilted and hesitant , tried to get an answer from a miffed Atherton who refused saying he had already answered the same question .",Atherton,experiencer
"The staunchly pro-monarchist Daily Telegraph said BBC chairman Marmaduke Hussey , whose wife is a lady-in-waiting to Queen Elizabeth II , is miffed that no one told him about the interview .","The staunchly pro-monarchist Daily Telegraph said BBC chairman Marmaduke Hussey , whose wife is a lady-in-waiting to Queen Elizabeth II",experiencer
"The staunchly pro-monarchist Daily Telegraph said BBC chairman Marmaduke Hussey , whose wife is a lady-in-waiting to Queen Elizabeth II , is miffed that no one told him about the interview .",that no one told him about the interview,stimulus
Some members of the UN Security Council will be miffed .,Some members of the UN Security Council,experiencer
Prosecutors were clearly miffed that several businessman changed the statements they had given during investigation of the case .,Prosecutors,experiencer
Prosecutors were clearly miffed that several businessman changed the statements they had given during investigation of the case .,clearly,manner
Prosecutors were clearly miffed that several businessman changed the statements they had given during investigation of the case .,that several businessman changed the statements they had given during investigation of the case,stimulus
"Indonesian officials were somewhat miffed Friday when the mayor of Hanover , Herbert Schmalstieg , took the occasion of welcoming Suharto to lecture him about human rights violations in Indonesia .",Indonesian officials,experiencer
"Indonesian officials were somewhat miffed Friday when the mayor of Hanover , Herbert Schmalstieg , took the occasion of welcoming Suharto to lecture him about human rights violations in Indonesia .",somewhat,degree
"Indonesian officials were somewhat miffed Friday when the mayor of Hanover , Herbert Schmalstieg , took the occasion of welcoming Suharto to lecture him about human rights violations in Indonesia .","when the mayor of Hanover , Herbert Schmalstieg , took the occasion of welcoming Suharto to lecture him about human rights violations in Indonesia",stimulus
"--- The descendants of Sir Isaac Newton are miffed that former prime minister Maragaret Thatcher has included the 17th century discoverer of gravity on her personal coat of arms , to represent learning .",The descendants of Sir Isaac Newton,experiencer
"--- The descendants of Sir Isaac Newton are miffed that former prime minister Maragaret Thatcher has included the 17th century discoverer of gravity on her personal coat of arms , to represent learning .","that former prime minister Maragaret Thatcher has included the 17th century discoverer of gravity on her personal coat of arms , to represent learning",stimulus
Stock investors were not miffed by the frantic currency markets .,Stock investors,experiencer
Stock investors were not miffed by the frantic currency markets .,by the frantic currency markets,stimulus
"The rebel Serbs were miffed that Bildt planned no trip to their stronghold of Pale , east of Sarajevo .",The rebel Serbs,experiencer
"The rebel Serbs were miffed that Bildt planned no trip to their stronghold of Pale , east of Sarajevo .","that Bildt planned no trip to their stronghold of Pale , east of Sarajevo",stimulus
"The rebels --- who want the government to recognize them as a legitimate force of change --- were miffed that the bill referred them in vague terms , such as `` dissenting groups in Chiapas . ''",The rebels --- who want the government to recognize them as a legitimate force of change,experiencer
"The rebels --- who want the government to recognize them as a legitimate force of change --- were miffed that the bill referred them in vague terms , such as `` dissenting groups in Chiapas . ''","that the bill referred them in vague terms , such as `` dissenting groups in Chiapas",stimulus
"The Chinese president was said to be miffed when the administration refused his request for a state visit at the White House , complete with star-spangled welcoming ceremonies and a black-tie dinner .",The Chinese president,experiencer
"The Chinese president was said to be miffed when the administration refused his request for a state visit at the White House , complete with star-spangled welcoming ceremonies and a black-tie dinner .",when the administration refused his request for a state visit at the White House,stimulus
"HELSINKI , Finland ( AP ) --- A Finnish orchestra on Friday completed recording a work by composer Jean Sibelius that vanished a century ago because he was miffed by criticism .",he,experiencer
"HELSINKI , Finland ( AP ) --- A Finnish orchestra on Friday completed recording a work by composer Jean Sibelius that vanished a century ago because he was miffed by criticism .",by criticism,stimulus
Walter Matthau and Jack Lemmon get miffed because her establishment will replace two of their favorite hang-outs .,Walter Matthau and Jack Lemmon,experiencer
Walter Matthau and Jack Lemmon get miffed because her establishment will replace two of their favorite hang-outs .,because her establishment will replace two of their favorite hang-outs,stimulus
"Mexico , too , was miffed because the Telmex telephone company can not gain entry to the American marketplace .",Mexico,experiencer
"Mexico , too , was miffed because the Telmex telephone company can not gain entry to the American marketplace .",because the Telmex telephone company can not gain entry to the American marketplace,stimulus
But conservatives are also miffed about Foster 's long ties to the Planned Parenthood Federation of America and the fact that his teen-age pregnancy program dispenses contraceptives .,conservatives,experiencer
But conservatives are also miffed about Foster 's long ties to the Planned Parenthood Federation of America and the fact that his teen-age pregnancy program dispenses contraceptives .,about Foster 's long ties to the Planned Parenthood Federation of America and the fact that his teen-age pregnancy program dispenses contraceptives,topic
O'Neal seemed miffed by the whole affair .,O'Neal,experiencer
O'Neal seemed miffed by the whole affair .,by the whole affair,stimulus
He also was miffed that World Tour organizers did not contact enough players before going public .,He,experiencer
He also was miffed that World Tour organizers did not contact enough players before going public .,that World Tour organizers did not contact enough players before going public,stimulus
"A miffed European Parliament head , President Jose Maria Gil -Robles , who is visiting Paris , promptly canceled a scheduled stop at de Charette 's office --- pending an apology .",European Parliament head,experiencer
"If Russia was miffed about the membership plans , other East European nations were delighted .",Russia,experiencer
"If Russia was miffed about the membership plans , other East European nations were delighted .",about the membership plans,topic
"Clearly miffed at the failure of their resolution , the Communists opened an attack Thursday on another front , threatening to torpedo the 1997 budget by refusing to take part in the final vote Friday .",Clearly,manner
"Clearly miffed at the failure of their resolution , the Communists opened an attack Thursday on another front , threatening to torpedo the 1997 budget by refusing to take part in the final vote Friday .",at the failure of their resolution,stimulus
"LAUSANNE , Switzerland --- The IOC is miffed that baseball has n't opened the sport to professionals for the Olympics .",The IOC,experiencer
"LAUSANNE , Switzerland --- The IOC is miffed that baseball has n't opened the sport to professionals for the Olympics .",that baseball has n't opened the sport to professionals for the Olympics,stimulus
"Some people simply were miffed by the red tape in applying for victim identification cards to qualify for the 100,000 yen .",Some people,experiencer
"Some people simply were miffed by the red tape in applying for victim identification cards to qualify for the 100,000 yen .","by the red tape in applying for victim identification cards to qualify for the 100,000 yen",stimulus
"Brazil , for example , was miffed that the summit was n't scheduled for a date after inauguration of its new president next month .",Brazil,experiencer
"Brazil , for example , was miffed that the summit was n't scheduled for a date after inauguration of its new president next month .",that the summit was n't scheduled for a date after inauguration of its new president next month,stimulus
"Diehard fans might be miffed at some of what 's left out , but it 's tough to argue against any of the songs included .",Diehard fans,experiencer
"Diehard fans might be miffed at some of what 's left out , but it 's tough to argue against any of the songs included .",at some of what 's left out,stimulus
The Washington-based report said the queen was miffed that Clinton had missed the recent V-E Day commemorations .,the queen,experiencer
The Washington-based report said the queen was miffed that Clinton had missed the recent V-E Day commemorations .,that Clinton had missed the recent V-E Day commemorations,stimulus
"The headmaster stood at the front of the class with Jim looking rather embarrassed and announced , ",Jim,experiencer
"The headmaster stood at the front of the class with Jim looking rather embarrassed and announced , ",rather,degree
"As a friend of Linde 's , I was rather embarrassed , however , when I was later sent his paper by a scientific journal and asked whether it was suitable for publication . ",I,experiencer
"As a friend of Linde 's , I was rather embarrassed , however , when I was later sent his paper by a scientific journal and asked whether it was suitable for publication . ",rather,degree
"As a friend of Linde 's , I was rather embarrassed , however , when I was later sent his paper by a scientific journal and asked whether it was suitable for publication . ",when I was later sent his paper by a scientific journal and asked whether it was suitable for publication,circumstances
For a moment Rob looked rather embarrassed . ,Rob,experiencer
For a moment Rob looked rather embarrassed . ,rather,degree
"When I did eventually tell her she was really embarrassed , and tried telling me that I was making it up ! ",she,experiencer
"When I did eventually tell her she was really embarrassed , and tried telling me that I was making it up ! ",really,degree
She was really embarrassed . ,She,experiencer
She was really embarrassed . ,really,degree
"When I came across it the other day , I was slightly embarrassed . ",When I came across it the other day,circumstances
"When I came across it the other day , I was slightly embarrassed . ",I,experiencer
"When I came across it the other day , I was slightly embarrassed . ",slightly,degree
"` Now you are mocking me , "" Vologsky murmured , with a slightly embarrassed smile . ",slightly,degree
"` Now you are mocking me , "" Vologsky murmured , with a slightly embarrassed smile . ",smile,expressor
"From time to time he brought them small presents of coffee and sugar , although he was always slightly shy and embarrassed about giving them . ",he,experiencer
"From time to time he brought them small presents of coffee and sugar , although he was always slightly shy and embarrassed about giving them . ",about giving them,stimulus
Seb was slightly embarrassed at meeting the gipsy . ,Seb,experiencer
Seb was slightly embarrassed at meeting the gipsy . ,slightly,degree
Seb was slightly embarrassed at meeting the gipsy . ,at meeting the gipsy,stimulus
Eight out of 10 agreed it was OK for girls to carry condoms but half said they would be too embarrassed to buy them . ,they,experiencer
Eight out of 10 agreed it was OK for girls to carry condoms but half said they would be too embarrassed to buy them . ,to buy them,degree
"It was less that I was too proud , more that I was too embarrassed . ",I,experiencer
"It was less that I was too proud , more that I was too embarrassed . ",too,degree
"Doubtless in later years she would be glad of that , but for now she was too embarrassed to care . ",she,experiencer
"Doubtless in later years she would be glad of that , but for now she was too embarrassed to care . ",to care,degree
"They were very polite , but also very embarrassed . ",They,experiencer
"They were very polite , but also very embarrassed . ",very,degree
People are very embarrassed talking about sex . ,People,experiencer
People are very embarrassed talking about sex . ,very,degree
People are very embarrassed talking about sex . ,talking about sex,stimulus
The civil servants watched with barely concealed glee as the ruling party became embarrassed when the North Koreans demanded compensation not only for Japan 's colonial rule but also for all the years since . ,the ruling party,experiencer
The civil servants watched with barely concealed glee as the ruling party became embarrassed when the North Koreans demanded compensation not only for Japan 's colonial rule but also for all the years since . ,when the North Koreans demanded compensation not only for Japan 's colonial rule but also for all the years since,circumstances
"You become embarrassed when people compliment you : ` Oh it was nothing really "" . ",You,experiencer
"You become embarrassed when people compliment you : ` Oh it was nothing really "" . ",when people compliment you,circumstances
As she gazed at it she became embarrassed . ,As she gazed at it,circumstances
As she gazed at it she became embarrassed . ,she,experiencer
"Bob became embarrassed at his own effusiveness , and turned back to the screen , tapping out the rhythm with his fingers on the side of his glass . ",Bob,experiencer
"Bob became embarrassed at his own effusiveness , and turned back to the screen , tapping out the rhythm with his fingers on the side of his glass . ",at his own effusiveness,stimulus
"But as he becomes more and m ore content with his new life , he becomes embarrassed of his family and background . ",he,experiencer
"But as he becomes more and m ore content with his new life , he becomes embarrassed of his family and background . ",of his family and background,stimulus
"As Koons shows the photos to me during an interview in his Greenwich Village apartment , I feel embarrassed for him . ",I,experiencer
"As Koons shows the photos to me during an interview in his Greenwich Village apartment , I feel embarrassed for him . ",for him,empathy_target
"They are not for those who insist that learning must be a serious business and who would feel embarrassed to be caught reading a ` comic book "" . ",who,experiencer
"They are not for those who insist that learning must be a serious business and who would feel embarrassed to be caught reading a ` comic book "" . ","to be caught reading a ` comic book """,stimulus
Strip searching made me feel terrible -- I was dead embarrassed . ,I,experiencer
Strip searching made me feel terrible -- I was dead embarrassed . ,dead,degree
"And then my friends ' boyfriends , on an evening out , they used to just have a go at him , and I 'd feel really embarrassed . ",I,experiencer
"And then my friends ' boyfriends , on an evening out , they used to just have a go at him , and I 'd feel really embarrassed . ",really,degree
I felt embarrassed at the prospect of meeting him . ,I,experiencer
I felt embarrassed at the prospect of meeting him . ,at the prospect of meeting him,stimulus
"The most uncomfortable part now is the interviews , because I ca n't put on an act , particularly on TV , I get really embarrassed seeing myself . ",I,experiencer
"The most uncomfortable part now is the interviews , because I ca n't put on an act , particularly on TV , I get really embarrassed seeing myself . ",really,degree
"The most uncomfortable part now is the interviews , because I ca n't put on an act , particularly on TV , I get really embarrassed seeing myself . ",seeing myself,stimulus
Now she was getting increasingly embarrassed as Mattie sat waiting for O'Neill . ,she,experiencer
Now she was getting increasingly embarrassed as Mattie sat waiting for O'Neill . ,increasingly,degree
Now she was getting increasingly embarrassed as Mattie sat waiting for O'Neill . ,as Mattie sat waiting for O'Neill,circumstances
"He seems slightly embarrassed discussing the incident , but admits to going on a shopping spree with someone else 's card , and buying shoes , clothes and dinner for himself and his friends . ",He,experiencer
"He seems slightly embarrassed discussing the incident , but admits to going on a shopping spree with someone else 's card , and buying shoes , clothes and dinner for himself and his friends . ",slightly,degree
"He seems slightly embarrassed discussing the incident , but admits to going on a shopping spree with someone else 's card , and buying shoes , clothes and dinner for himself and his friends . ",discussing the incident,stimulus
"` In every sense , of course , including the biblical , "" he added in a penetrating whisper clearly audible to his embarrassed family . ",family,experiencer
"They might have been in the private wing , put away by their guilty and embarrassed families . ",families,experiencer
Milton took pity on his embarrassed friend . ,friend,experiencer
"` Oh , for God 's sake , "" Jack said with an embarrassed laugh . ",laugh,expressor
She gave an embarrassed smile and looked down at her hands . ,smile,expressor
"The reason why we are embarrassed to admit this is that we have lived in an age when the self-sufficiency , the autonomy of poems has been elevated into dogma . ",we,experiencer
"The reason why we are embarrassed to admit this is that we have lived in an age when the self-sufficiency , the autonomy of poems has been elevated into dogma . ",to admit this,stimulus
"This is not a problem at Center Parcs , where everyone else is so inept that you are embarrassed to show them up . ",you,experiencer
"This is not a problem at Center Parcs , where everyone else is so inept that you are embarrassed to show them up . ",to show them up,stimulus
They 're embarrassed to have such primitive people represent the country to the rest of the world . ,They,experiencer
They 're embarrassed to have such primitive people represent the country to the rest of the world . ,to have such primitive people represent the country to the rest of the world,stimulus
He is also believed to be embarrassed that one person should be earning so much when the recession and heavy unemployment has badly affected Coventry and the surrounding area . ,He,experiencer
He is also believed to be embarrassed that one person should be earning so much when the recession and heavy unemployment has badly affected Coventry and the surrounding area . ,that one person should be earning so much when the recession and heavy unemployment has badly affected Coventry and the surrounding area,stimulus
"He felt guilty as he thought of Maeve 's sweet face , and embarrassed that he should be so powerfully attracted to a woman dedicated to God . ",He,experiencer
"He felt guilty as he thought of Maeve 's sweet face , and embarrassed that he should be so powerfully attracted to a woman dedicated to God . ",that he should be so powerfully attracted to a woman dedicated to God,stimulus
My father had been embarrassed when my mother or I had wept at the time of his leaving . ,My father,experiencer
My father had been embarrassed when my mother or I had wept at the time of his leaving . ,when my mother or I had wept at the time of his leaving,circumstances
"I was quite embarrassed when we did it two years ago . "" ",I,experiencer
"I was quite embarrassed when we did it two years ago . "" ",quite,degree
"I was quite embarrassed when we did it two years ago . "" ",when we did it two years ago,circumstances
"He was embarrassed about the nature of his illness and reluctant to discuss his bowel function with anyone , especially young women . ",He,experiencer
"He was embarrassed about the nature of his illness and reluctant to discuss his bowel function with anyone , especially young women . ",about the nature of his illness,topic
I was a bit embarrassed about that . ,I,experiencer
I was a bit embarrassed about that . ,a bit,degree
I was a bit embarrassed about that . ,about that,topic
"They 're a bit embarrassed about us doing their work for them . "" ",They,experiencer
"They 're a bit embarrassed about us doing their work for them . "" ",a bit,degree
"They 're a bit embarrassed about us doing their work for them . "" ",about us doing their work for them,stimulus
“ But the council 's so embarrassed about that one that they 're just leaving them to put it right as quietly as they can . ,the council,experiencer
“ But the council 's so embarrassed about that one that they 're just leaving them to put it right as quietly as they can . ,that they 're just leaving them to put it right as quietly as they can,degree
“ But the council 's so embarrassed about that one that they 're just leaving them to put it right as quietly as they can . ,about that one,topic
Constance was deeply embarrassed at the intimate turn the conversation had taken . ,Constance,experiencer
Constance was deeply embarrassed at the intimate turn the conversation had taken . ,deeply,degree
Constance was deeply embarrassed at the intimate turn the conversation had taken . ,at the intimate turn the conversation had taken,stimulus
"` I 'm embarrassed at the way it 's playin' up . "" ",I,experiencer
"` I 'm embarrassed at the way it 's playin' up . "" ",at the way it 's playin' up,stimulus
I 'm embarrassed for Blade . ,I,experiencer
I 'm embarrassed for Blade . ,for Blade,empathy_target
He could n't take home business associates for dinner because he was embarrassed for them to see you . ,he,experiencer
He could n't take home business associates for dinner because he was embarrassed for them to see you . ,for them,empathy_target
He could n't take home business associates for dinner because he was embarrassed for them to see you . ,to see you,stimulus
"Do n't be embarrassed about lying on a bed in the shop to try it out , and make sure you test the actual size you want to buy . ",about lying on a bed in the shop to try it out,stimulus
"Nobody actually looks at it apart from me , so I 'm not embarrassed about writing that there . ",I,experiencer
"Nobody actually looks at it apart from me , so I 'm not embarrassed about writing that there . ",about writing that there,stimulus
"It should have been irresistible and yet we hesitated , embarrassed at having taken so long . ",we,experiencer
"It should have been irresistible and yet we hesitated , embarrassed at having taken so long . ",at having taken so long,stimulus
She was simply embarrassed at being revealed to the public . ,She,experiencer
She was simply embarrassed at being revealed to the public . ,at being revealed to the public,stimulus
"Obviously he was not going to speak and Jenna was embarrassed at being caught here , more embarrassed still at the idea of walking haughtily to her room without a word . ",Jenna,experiencer
"Obviously he was not going to speak and Jenna was embarrassed at being caught here , more embarrassed still at the idea of walking haughtily to her room without a word . ",at being caught here,stimulus
"Friends might be appalled , and employees embarrassed at how little Laura resisted Bernard 's will . ",employees,experiencer
"Friends might be appalled , and employees embarrassed at how little Laura resisted Bernard 's will . ",at how little Laura resisted Bernard 's will,stimulus
"Work in pairs , just round the table , do n't be embarrassed with , John , Clare , Phil and Ed . ","with , John , Clare , Phil and Ed",stimulus
"Several of the men , though none of the women , made embarrassed noises of dissent . ",noises of dissent,expressor
"` I know what you mean , ma'am , "" said Rose gravely , enjoying himself immensely at the sight of Auguste 's embarrassed face . ",face,expressor
"` I was so embarrassed , "" said Dave , 38 . ",I,experiencer
"` I was so embarrassed , "" said Dave , 38 . ",so,degree
"Jasper reddened and pressed his lip together , and Farraline looked embarrassed . ",Farraline,experiencer
Mum was so embarrassed ! ,Mum,experiencer
Mum was so embarrassed ! ,so,degree
A lot of the time you just shoot because you 're caught up in something then you see it published and you 're a bit embarrassed because in your heart you know what it was . ,you,experiencer
A lot of the time you just shoot because you 're caught up in something then you see it published and you 're a bit embarrassed because in your heart you know what it was . ,a bit,degree
A lot of the time you just shoot because you 're caught up in something then you see it published and you 're a bit embarrassed because in your heart you know what it was . ,because in your heart you know what it was,explanation
Flt Lt Marshall was extremely embarrassed and always avoided my eye whenever he came into the Met Office after that . ,Flt Lt Marshall,experiencer
Flt Lt Marshall was extremely embarrassed and always avoided my eye whenever he came into the Met Office after that . ,extremely,degree
The bearers looked embarrassed and tried to get her to go . ,The bearers,experiencer
"In reality , they may have been more anxious and worried than they showed . ",they,stimulus
"In reality , they may have been more anxious and worried than they showed . ",than they showed,degree
"He is so anxious about being accepted that he is trying to be extra good and even perfect . "" ",He,experiencer
"He is so anxious about being accepted that he is trying to be extra good and even perfect . "" ",that he is trying to be extra good and even perfect,degree
"He is so anxious about being accepted that he is trying to be extra good and even perfect . "" ",about being accepted,stimulus
"Some ill children feel so angry , depressed , or anxious about their condition that they refuse to eat . ",about their condition,topic
"Some ill children feel so angry , depressed , or anxious about their condition that they refuse to eat . ",so,degree
"Some ill children feel so angry , depressed , or anxious about their condition that they refuse to eat . ",Some ill children,experiencer
"However , I am not now so anxious about my sister being left with Señor Mitchell . ",I,experiencer
"However , I am not now so anxious about my sister being left with Señor Mitchell . ",so,degree
"However , I am not now so anxious about my sister being left with Señor Mitchell . ",about my sister being left with Señor Mitchell,stimulus
If she 's so anxious about my welfare and morals it 's a wonder she has n't come stamping up here to check out the situation for herself . ,she,experiencer
If she 's so anxious about my welfare and morals it 's a wonder she has n't come stamping up here to check out the situation for herself . ,so,degree
If she 's so anxious about my welfare and morals it 's a wonder she has n't come stamping up here to check out the situation for herself . ,about my welfare and morals,topic
The last time she had walked down this lane she had been too anxious about Susan to notice very much . ,she,experiencer
The last time she had walked down this lane she had been too anxious about Susan to notice very much . ,to notice very much,degree
The last time she had walked down this lane she had been too anxious about Susan to notice very much . ,about Susan,topic
I wanted to be a violinist -- that was my real ambition -- but I was too anxious to really get to grips with the instrument . ,I,experiencer
I wanted to be a violinist -- that was my real ambition -- but I was too anxious to really get to grips with the instrument . ,to really get to grips with the instrument,degree
"Cranston , too , was thinking about events in the Tower but was too anxious to concentrate on the problems they posed . ",Cranston,experiencer
"Cranston , too , was thinking about events in the Tower but was too anxious to concentrate on the problems they posed . ",to concentrate on the problems they posed,degree
Meanwhile the flood of letters of a very different sort from anxious Hong Kong citizens to this and every other newspaper office continues . ,Hong Kong citizens,experiencer
"You then left that meeting , rather hurriedly , before it ended , in a very anxious state . ",very,degree
"You then left that meeting , rather hurriedly , before it ended , in a very anxious state . ",state,state
"She subsequently attended the genetic counselling clinic , and was very anxious about the situation . ",She,experiencer
"She subsequently attended the genetic counselling clinic , and was very anxious about the situation . ",very,degree
"She subsequently attended the genetic counselling clinic , and was very anxious about the situation . ",about the situation,topic
My friend is very anxious about your welfare . ,My friend,experiencer
My friend is very anxious about your welfare . ,very,degree
My friend is very anxious about your welfare . ,about your welfare,topic
Gary 's expression became even more anxious . ,Gary 's expression,expressor
Gary 's expression became even more anxious . ,even more,degree
The Oracle clearly becomes very anxious about this and demands to know their business . ,The Oracle,experiencer
The Oracle clearly becomes very anxious about this and demands to know their business . ,very,degree
The Oracle clearly becomes very anxious about this and demands to know their business . ,about this,topic
"He had taken an interest in the growing baby , and had become anxious about Jane 's health and safety , the way expectant fathers were supposed to . ",He,experiencer
"He had taken an interest in the growing baby , and had become anxious about Jane 's health and safety , the way expectant fathers were supposed to . ",about Jane 's health and safety,topic
And you feel anxious about getting the first lot of seeds sown out of doors . ,you,experiencer
And you feel anxious about getting the first lot of seeds sown out of doors . ,about getting the first lot of seeds sown out of doors,stimulus
"George felt anxious that he had had no opportunity to be alone with Tamar , and so there had been no chance of warning her about the groom . ",George,experiencer
"George felt anxious that he had had no opportunity to be alone with Tamar , and so there had been no chance of warning her about the groom . ",that he had had no opportunity to be alone with Tamar,stimulus
"Far from experiencing simple gratitude , such children will most likely feel terribly torn and anxious when faced with their foster parents ' offer of affection . ",such children,experiencer
"Far from experiencing simple gratitude , such children will most likely feel terribly torn and anxious when faced with their foster parents ' offer of affection . ",when faced with their foster parents ' offer of affection,circumstances
She was still feeling a little anxious when she thought of all she would have to do before she could get to bed that night . ,She,experiencer
She was still feeling a little anxious when she thought of all she would have to do before she could get to bed that night . ,a little,degree
She was still feeling a little anxious when she thought of all she would have to do before she could get to bed that night . ,when she thought of all she would have to do before she could get to bed that night,circumstances
It seems that anxious people condition most easily and it is thought that irrational fears are established in this way . ,people,experiencer
"They seemed anxious and hesitant about leaving , as if uncertain of which direction to take . ",They,experiencer
"They seemed anxious and hesitant about leaving , as if uncertain of which direction to take . ",about leaving,topic
He turned and saw the waiter bearing down on him with an anxious look on his face . ,look on his face,expressor
Jim could nonetheless tell by his anxious face that something was wrong . ,face,expressor
Stephen Spielberg says anxious parents should view it first . ,parents,experiencer
A helpline has been set up for anxious parents . ,parents,experiencer
"One of the four ads is for insurance , another for Sherwood 's and the other two draw the attention of anxious patients to a particular service offered by local solicitors . ",patients,experiencer
"Anxious people become acutely sensitized to their bodies , noticing minor bodily changes upon which they focus . ",people,experiencer
"Unfortunately , anxious and stressed people become acutely sensitive to such fluctuations making them worse by their own concern . ",people,experiencer
"Rose was excessively clinging in her behaviour and anxious when Clive was either late , as he often was , or away on an extended business trip . ",Rose,experiencer
"Rose was excessively clinging in her behaviour and anxious when Clive was either late , as he often was , or away on an extended business trip . ","when Clive was either late , as he often was , or away on an extended business trip",circumstances
We were confused and anxious when we were not understood . ,We,experiencer
We were confused and anxious when we were not understood . ,when we were not understood,circumstances
They were a little anxious about the flight over the Timor Sea as their compass had been 10° awry on the outward journey though it was correct at Melbourne . ,They,experiencer
They were a little anxious about the flight over the Timor Sea as their compass had been 10° awry on the outward journey though it was correct at Melbourne . ,a little,degree
They were a little anxious about the flight over the Timor Sea as their compass had been 10° awry on the outward journey though it was correct at Melbourne . ,about the flight over the Timor Sea,topic
Many beef farmers in my constituency of Monmouth are deeply anxious about the impact of the MacSharry proposals . ,Many beef farmers in my constituency of Monmouth,experiencer
Many beef farmers in my constituency of Monmouth are deeply anxious about the impact of the MacSharry proposals . ,deeply,degree
Many beef farmers in my constituency of Monmouth are deeply anxious about the impact of the MacSharry proposals . ,about the impact of the MacSharry proposals,topic
"She 's in a lot of pain , and is extremely anxious about her condition . "" ",She,experiencer
"She 's in a lot of pain , and is extremely anxious about her condition . "" ",extremely,degree
"She 's in a lot of pain , and is extremely anxious about her condition . "" ",about her condition,topic
President Truman and his advisers were anxious over Sino-Soviet relations and wondered whether American forces could take the port of Dairen and thus prevent the Soviet Union from occupying the Liaotung peninsula of south Manchuria . ,President Truman and his advisers,experiencer
President Truman and his advisers were anxious over Sino-Soviet relations and wondered whether American forces could take the port of Dairen and thus prevent the Soviet Union from occupying the Liaotung peninsula of south Manchuria . ,over Sino-Soviet relations,topic
The next morning I awoke anxious over what had happened . ,I,experiencer
The next morning I awoke anxious over what had happened . ,over what had happened,stimulus
"The message was clear as members of Gloucestershire county council turned up to todays budget meeting , with protestors , anxious over the scale of impending cuts urging councillors to think again before wielding the axe . ",protestors,experiencer
"The message was clear as members of Gloucestershire county council turned up to todays budget meeting , with protestors , anxious over the scale of impending cuts urging councillors to think again before wielding the axe . ",over the scale of impending cuts,topic
"Modigliani was plagued and anxious because of the difficulty of finding models , and when one had been found he waited in a state of tension for fear of being let down . ",Modigliani,experiencer
"Modigliani was plagued and anxious because of the difficulty of finding models , and when one had been found he waited in a state of tension for fear of being let down . ",because of the difficulty of finding models,explanation
"She was distressed and anxious at being separated from her friends , and rapidly developed colic . ",She,experiencer
"She was distressed and anxious at being separated from her friends , and rapidly developed colic . ",at being separated from her friends,stimulus
"Now Mr Rifkind has written to the BSC chairman , Sir Robert Scholey , asking for further assurances after meeting anxious union leaders . ",union leaders,experiencer
"A patient in an anxious state is more likely to bump into , or trip over , objects ; shaking or tense hands are more likely to drop things , spill things and so on . ",state,state
"It all started early this morning , when a rather anxious mum called in at the office . ",mum,experiencer
"Tero followed them at a distance , watching her new friend with sorrowful anxious eyes . ",eyes,expressor
"Land speculators and locals alike were anxious to own a part of the newest railroad boomtown , and within an afternoon , more than 80 percent of the lots were sold .",to own a part of the newest railroad boomtown,stimulus
"Land speculators and locals alike were anxious to own a part of the newest railroad boomtown , and within an afternoon , more than 80 percent of the lots were sold .",Land speculators and locals alike,experiencer
We grew more and more excited . ,We,experiencer
We grew more and more excited . ,more and more,degree
Paddington grew more and more excited as he listened . ,Paddington,experiencer
Paddington grew more and more excited as he listened . ,more and more,degree
Paddington grew more and more excited as he listened . ,as he listened,circumstances
I remembered that Tansy had said something about a pendant and Topaz being quite excited about it . ,Topaz,experiencer
I remembered that Tansy had said something about a pendant and Topaz being quite excited about it . ,quite,degree
I remembered that Tansy had said something about a pendant and Topaz being quite excited about it . ,about it,topic
So we 're quite excited about it and also it 's quite a major problem . ,we,experiencer
So we 're quite excited about it and also it 's quite a major problem . ,quite,degree
So we 're quite excited about it and also it 's quite a major problem . ,about it,topic
"I 'm just so excited , because he says I can be in charge of it . ",I,experiencer
"I 'm just so excited , because he says I can be in charge of it . ",so,degree
"I 'm just so excited , because he says I can be in charge of it . ",because he says I can be in charge of it,explanation
"Auguste sat in the small balcony with his mother and father , for once not noticing the unaccustomedness of their best clothes , so excited were they . ",so,degree
"Auguste sat in the small balcony with his mother and father , for once not noticing the unaccustomedness of their best clothes , so excited were they . ",they,experiencer
"` They say the king 's left Welshpool with a small escort ahead of the army , "" volunteered a boy a yard or so in front of them , turning an excited face . ",face,expressor
"The remaining men were just preparing to leave when suddenly a young man called Laban Tall rushed into the malthouse , almost too excited to speak . ",Laban Tall,experiencer
"The remaining men were just preparing to leave when suddenly a young man called Laban Tall rushed into the malthouse , almost too excited to speak . ",to speak,degree
"Then , having shown the plate to various not very excited colleagues , he resumed his holiday . ",very,degree
"Then , having shown the plate to various not very excited colleagues , he resumed his holiday . ",colleagues,experiencer
"` Right now I 'm feeling very excited . "" ",I,experiencer
"` Right now I 'm feeling very excited . "" ",very,degree
"In a minute Sir Wilfrid returned , looking very excited . ",Sir Wilfrid,experiencer
"In a minute Sir Wilfrid returned , looking very excited . ",very,degree
